"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","correct_answer","choices"
1347.08999999566,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/I1.png"" >","0","html-button-response",0,1350,"0.0-0.0",,"[{""stimulusType"":""text"",""identifier"":""T1"",""content"":""다음"",""fontSize"":50,""fontColor"":null}]"
2918.764999951236,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/I2.png"" >","0","html-button-response",1,4270,"0.0-1.0",,"[{""stimulusType"":""text"",""identifier"":""T1"",""content"":""다음"",""fontSize"":50,""fontColor"":null}]"
1303.0349999899045,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/I3.png"" >","0","html-button-response",2,5574,"0.0-2.0",,"[{""stimulusType"":""text"",""identifier"":""T1"",""content"":""다음"",""fontSize"":50,""fontColor"":null}]"
351.2099999934435,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/I4.png"" >","0","html-button-response",3,5925,"0.0-3.0",,"[{""stimulusType"":""text"",""identifier"":""T1"",""content"":""다음"",""fontSize"":50,""fontColor"":null}]"
335.9000000054948,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/I5.png"" >","0","html-button-response",4,6262,"0.0-4.0",,"[{""stimulusType"":""text"",""identifier"":""T1"",""content"":""다음"",""fontSize"":50,""fontColor"":null}]"
22742.834999982733,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/I6.png"" >","0","html-button-response",5,29005,"0.0-5.0",,"[{""stimulusType"":""text"",""identifier"":""T1"",""content"":""다음"",""fontSize"":50,""fontColor"":null}]"
407.4599999585189,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/inst.png"" >","0","html-button-response",6,29413,"0.0-6.0",,"[{""stimulusType"":""image"",""identifier"":""I11"",""filePath"":""img/START.png"",""button"":false}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",7,31920,"0.0-7.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F3.png"" >",,"html-button-response",8,32422,"0.0-8.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",9,34926,"0.0-9.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F6.png"" >",,"html-button-response",10,35428,"0.0-10.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",11,37932,"0.0-11.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F2.png"" >",,"html-button-response",12,38437,"0.0-12.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",13,40938,"0.0-13.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F2.png"" >",,"html-button-response",14,41442,"0.0-14.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",15,43946,"0.0-15.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F5.png"" >",,"html-button-response",16,44450,"0.0-16.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",17,46953,"0.0-17.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F7.png"" >",,"html-button-response",18,47457,"0.0-18.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",19,49958,"0.0-19.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F7.png"" >",,"html-button-response",20,50464,"0.0-20.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",21,52968,"0.0-21.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F8.png"" >",,"html-button-response",22,53470,"0.0-22.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",23,55975,"0.0-23.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F1.png"" >",,"html-button-response",24,56478,"0.0-24.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",25,58980,"0.0-25.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F1.png"" >",,"html-button-response",26,59485,"0.0-26.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",27,61986,"0.0-27.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F6.png"" >",,"html-button-response",28,62489,"0.0-28.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",29,64991,"0.0-29.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F2.png"" >",,"html-button-response",30,65497,"0.0-30.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",31,68000,"0.0-31.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F4.png"" >",,"html-button-response",32,68503,"0.0-32.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",33,71004,"0.0-33.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F4.png"" >",,"html-button-response",34,71509,"0.0-34.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",35,74015,"0.0-35.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F3.png"" >",,"html-button-response",36,74519,"0.0-36.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",37,77022,"0.0-37.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F3.png"" >",,"html-button-response",38,77526,"0.0-38.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",39,80031,"0.0-39.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F8.png"" >",,"html-button-response",40,80536,"0.0-40.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",41,83041,"0.0-41.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F5.png"" >",,"html-button-response",42,83544,"0.0-42.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",43,86050,"0.0-43.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F1.png"" >",,"html-button-response",44,86553,"0.0-44.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",45,89057,"0.0-45.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F1.png"" >",,"html-button-response",46,89562,"0.0-46.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
,"<p style=""font-size:100px;"">+</p>",,"html-keyboard-response",47,92066,"0.0-47.0",,
,"<img src=""/uploads/source_704d8909ab64b6935709499af6a098fc/1_lake_nback_i/img/F4.png"" >",,"html-button-response",48,92569,"0.0-48.0",,"[{""stimulusType"":""text"",""identifier"":""s1"",""content"":""X"",""fontSize"":10,""fontColor"":null},{""stimulusType"":""text"",""identifier"":""s2"",""content"":""0"",""fontSize"":10,""fontColor"":null}]"
3467.1049999888055,"<p style=""font-size:40px;"">수고하셨습니다. 다음 질문에 대답해 주세요.</p>","0","html-button-response",49,96037,"0.0-49.0",,"[{""stimulusType"":""text"",""identifier"":""T3"",""content"":""다음"",""fontSize"":10,""fontColor"":null}]"
430.91500003356487,"<p style=""font-size:10px;"">과제가 어려웠다</p>","2","html-button-response",50,96469,"0.0-50.0",,"[{""stimulusType"":""image"",""identifier"":""I80"",""filePath"":""img/1.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I81"",""filePath"":""img/2.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I82"",""filePath"":""img/3.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I83"",""filePath"":""img/4.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I84"",""filePath"":""img/5.png"",""button"":false}]"
333.76999996835366,"<p style=""font-size:10px;"">과제가 재미 있었다</p>","2","html-button-response",51,96806,"0.0-51.0",,"[{""stimulusType"":""image"",""identifier"":""I80"",""filePath"":""img/1.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I81"",""filePath"":""img/2.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I82"",""filePath"":""img/3.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I83"",""filePath"":""img/4.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I84"",""filePath"":""img/5.png"",""button"":false}]"
317.3100000130944,"<p style=""font-size:10px;"">과제를 하는 동안 주변에 방해받지 않고 집중 할 수 있었다</p>","2","html-button-response",52,97125,"0.0-52.0",,"[{""stimulusType"":""image"",""identifier"":""I80"",""filePath"":""img/1.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I81"",""filePath"":""img/2.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I82"",""filePath"":""img/3.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I83"",""filePath"":""img/4.png"",""button"":false},{""stimulusType"":""image"",""identifier"":""I84"",""filePath"":""img/5.png"",""button"":false}]"
2048.5399999888614,"<p style=""font-size:40px;"">Thank you!</p>",,"html-keyboard-response",53,99174,"0.0-53.0",,